City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rainfall(1hr),Snowfall(1hr)
229,Kontagora,NG,10.4,5.47,73.42,94,23,3.96,few clouds,0,0
230,Hay River,CA,60.82,-115.8,69.8,49,75,8.05,broken clouds,0,0
231,Eyl,SO,7.98,49.82,77.9,75,43,17.94,scattered clouds,0,0
232,Shu,KZ,43.6,73.76,63.88,48,0,4.76,clear sky,0,0
233,Dombarovskiy,RU,50.76,59.54,65.03,63,14,4.65,few clouds,0,0
234,Houma,US,29.6,-90.72,88.0,74,40,6.93,scattered clouds,0,0
235,Tarabuco,BO,-19.17,-64.92,42.22,79,3,4.09,clear sky,0,0
236,Ketchikan,US,55.34,-131.65,69.8,56,1,18.34,clear sky,0,0
237,Khandyga,RU,62.67,135.6,65.79,35,0,9.73,clear sky,0,0
238,Sinnamary,GF,5.38,-52.95,78.96,83,81,10.25,broken clouds,0,0
239,College,US,64.86,-147.8,68.0,52,75,8.05,broken clouds,0,0
240,Redlands,US,34.06,-117.18,100.99,16,5,11.41,haze,0,0
241,Lorengau,PG,-2.02,147.27,85.26,63,17,6.22,few clouds,0,0
242,Paamiut,GL,61.99,-49.67,47.28,91,89,2.28,overcast clouds,0,0
243,Pisco,PE,-13.7,-76.22,62.6,77,6,8.05,clear sky,0,0
244,Sampit,ID,-2.53,112.95,75.83,85,79,2.33,broken clouds,0,0
245,Saint-Pierre,RE,-21.34,55.48,66.2,77,33,5.82,scattered clouds,0,0
246,Sungaipenuh,ID,-2.08,101.38,63.9,91,91,3.38,overcast clouds,0,0
247,Baker City,US,44.77,-117.83,93.2,21,1,4.7,clear sky,0,0
248,Qui Nhon,VN,13.77,109.23,81.21,78,82,5.21,broken clouds,0,0
249,Makakilo City,US,21.35,-158.09,87.8,45,75,9.17,broken clouds,0,0
250,Pervomayskoye,RU,43.92,46.71,66.27,77,92,2.46,overcast clouds,0,0
251,Jumla,NP,29.27,82.18,61.7,71,100,1.19,light rain,0,0
252,Kashi,CN,39.45,75.98,78.8,21,20,11.18,few clouds,0,0
253,Moratuwa,LK,6.77,79.88,82.4,74,98,1.12,overcast clouds,0,0
254,Kruisfontein,ZA,-34.0,24.73,53.2,82,0,14.12,clear sky,0,0
255,Inuvik,CA,68.35,-133.72,53.6,76,75,3.36,broken clouds,0,0
256,Bambous Virieux,MU,-20.34,57.76,70.0,83,75,8.05,broken clouds,0,0
257,Almeria,ES,37.17,-2.33,82.4,69,6,9.17,clear sky,0,0
258,Glace Bay,CA,46.2,-59.96,68.0,94,75,4.7,broken clouds,0,0
259,Nuuk,GL,64.18,-51.72,46.4,93,91,4.7,overcast clouds,0,0
260,Ancud,CL,-41.87,-73.82,43.0,93,99,2.24,overcast clouds,0,0
261,Port Lincoln,AU,-34.73,135.87,55.53,79,0,4.32,clear sky,0,0
262,Saint-Joseph,RE,-21.37,55.62,66.2,77,20,5.82,few clouds,0,0
263,Beyneu,KZ,45.32,55.2,67.98,65,100,13.65,overcast clouds,0,0
264,Ensley,US,30.52,-87.27,84.2,88,20,5.82,moderate rain,0,0
265,Linfen,CN,36.09,111.52,80.67,66,1,4.21,clear sky,0,0
266,Chukhloma,RU,58.75,42.68,63.5,95,100,7.76,overcast clouds,0,0
267,Taupo,NZ,-38.68,176.08,54.0,81,43,1.01,scattered clouds,0,0
268,Pimentel,PE,-6.84,-79.93,64.4,72,1,18.34,clear sky,0,0
269,Minot,US,48.23,-101.3,86.0,37,1,9.17,clear sky,0,0
270,Broome,US,42.25,-75.83,70.0,100,90,3.36,light rain,0,0
271,Santa Rosa,PH,14.31,121.11,79.0,94,100,3.18,light rain,0,0
272,Kansk,RU,56.2,95.72,62.01,79,10,2.71,clear sky,0,0
273,Cidreira,BR,-30.18,-50.21,46.33,75,7,2.86,clear sky,0,0
274,Henties Bay,NA,-22.12,14.28,55.99,90,0,7.05,clear sky,0,0
275,Taybad,IR,34.74,60.78,74.05,24,0,15.43,clear sky,0,0
276,Cockburn Town,TC,21.46,-71.14,82.78,80,4,23.8,clear sky,0,0
277,Liverpool,GB,53.41,-2.98,59.0,82,75,4.7,broken clouds,0,0
278,Grafton,US,42.21,-71.69,82.4,51,1,9.17,clear sky,0,0
279,Rafai,CF,4.95,23.92,66.88,97,98,1.48,overcast clouds,0,0
280,San Quintin,MX,30.48,-115.95,73.09,67,0,15.61,clear sky,0,0
281,Tisovec,SK,48.68,19.94,59.0,76,46,11.41,scattered clouds,0,0
282,Kualakapuas,ID,-3.01,114.39,75.2,94,82,1.12,broken clouds,0,0
283,Youhao,CN,47.87,128.83,82.31,56,0,1.1,clear sky,0,0
284,Halifax,CA,44.65,-63.57,75.99,73,75,2.24,broken clouds,0,0
285,Luderitz,NA,-26.65,15.16,57.2,67,0,6.93,clear sky,0,0
286,Pevek,RU,69.7,170.31,37.2,93,100,4.81,overcast clouds,0,0
287,Nouadhibou,MR,20.93,-17.03,71.6,83,12,14.99,few clouds,0,0
288,Tiete,BR,-23.1,-47.71,64.0,77,20,21.92,few clouds,0,0
